X11,X12,X13,X14,X15,X16,X21,X22,X23,X24,X25,X26,X31,X32,X33,X34,X35,X36,X41,X42,X43,X44,X45,X46,X51,X52,X53,X54,X55,X56,X61,X62,X63,X64,X65,X66
1,,,,,,,,1,,,,,,,1,,,,1,,,,,,,,,1,,,,,,,1
1,,,,,,,,1,,,,,,,1,,,,1,,,,,,,,,,1,,,,,1,
1,,,,,,,,1,,,,,,,1,,,,,,,1,,,1,,,,,,,,,,1
1,,,,,,,,1,,,,,,,1,,,,,,,1,,,,,,,1,,1,,,,
1,,,,,,,,1,,,,,,,1,,,,,,,,1,,1,,,,,,,,,1,
1,,,,,,,,1,,,,,,,1,,,,,,,,1,,,,,1,,,1,,,,
1,,,,,,,,1,,,,,,,,1,,,1,,,,,,,,1,,,,,,,,1
1,,,,,,,,1,,,,,,,,1,,,,,,,1,,,,1,,,,1,,,,
1,,,,,,,,1,,,,,,,,,1,,1,,,,,,,,1,,,,,,,1,
1,,,,,,,,1,,,,,,,,,1,,,,,1,,,1,,,,,,,,1,,
1,,,,,,,,1,,,,,,,,,1,,,,,1,,,,,1,,,,1,,,,
1,,,,,,,,,1,,,,,1,,,,,1,,,,,,,,,1,,,,,,,1
1,,,,,,,,,1,,,,,1,,,,,1,,,,,,,,,,1,,,,,1,
1,,,,,,,,,1,,,,,1,,,,,,,,1,,,1,,,,,,,,,,1
1,,,,,,,,,1,,,,,1,,,,,,,,1,,,,,,,1,,1,,,,
1,,,,,,,,,1,,,,,1,,,,,,,,,1,,1,,,,,,,,,1,
1,,,,,,,,,1,,,,,1,,,,,,,,,1,,,,,1,,,1,,,,
1,,,,,,,,,1,,,,,,,1,,,1,,,,,,,,,,1,,,1,,,
1,,,,,,,,,1,,,,,,,1,,,,,,,1,,1,,,,,,,1,,,
1,,,,,,,,,1,,,,,,,,1,,1,,,,,,,,,1,,,,1,,,
1,,,,,,,,,1,,,,,,,,1,,,,,1,,,1,,,,,,,1,,,
1,,,,,,,,,,,1,,,1,,,,,1,,,,,,,,1,,,,,,,1,
1,,,,,,,,,,,1,,,1,,,,,,,,1,,,1,,,,,,,,1,,
1,,,,,,,,,,,1,,,1,,,,,,,,1,,,,,1,,,,1,,,,
1,,,,,,,,,,,1,,,,1,,,,1,,,,,,,,,1,,,,1,,,
1,,,,,,,,,,,1,,,,1,,,,,,,1,,,1,,,,,,,1,,,
1,,,,,,,,,,,1,,,,,1,,,1,,,,,,,,1,,,,,1,,,
,1,,,,,1,,,,,,,,1,,,,,,,,1,,,,,1,,,,,,,,1
,1,,,,,1,,,,,,,,1,,,,,,,,1,,,,,,,1,,,,1,,
,1,,,,,1,,,,,,,,1,,,,,,,,,1,,,,1,,,,,,,1,
,1,,,,,,,1,,,,1,,,,,,,,,,1,,,,,1,,,,,,,,1
,1,,,,,,,1,,,,1,,,,,,,,,,1,,,,,,,1,,,,1,,
,1,,,,,,,1,,,,1,,,,,,,,,,,1,,,,1,,,,,,,1,
,1,,,,,,,1,,,,,,,1,,,1,,,,,,,,,,1,,,,,,,1
,1,,,,,,,1,,,,,,,1,,,1,,,,,,,,,,,1,,,,,1,
,1,,,,,,,1,,,,,,,1,,,,,,,1,,1,,,,,,,,,,,1
,1,,,,,,,1,,,,,,,1,,,,,,,1,,,,,,,1,1,,,,,
,1,,,,,,,1,,,,,,,1,,,,,,,,1,1,,,,,,,,,,1,
,1,,,,,,,1,,,,,,,1,,,,,,,,1,,,,,1,,1,,,,,
,1,,,,,,,1,,,,,,,,1,,1,,,,,,,,,1,,,,,,,,1
,1,,,,,,,1,,,,,,,,1,,,,,,,1,,,,1,,,1,,,,,
,1,,,,,,,1,,,,,,,,,1,1,,,,,,,,,1,,,,,,,1,
,1,,,,,,,1,,,,,,,,,1,,,,,1,,1,,,,,,,,,1,,
,1,,,,,,,1,,,,,,,,,1,,,,,1,,,,,1,,,1,,,,,
,1,,,,,,,,1,,,,,1,,,,1,,,,,,,,,,1,,,,,,,1
,1,,,,,,,,1,,,,,1,,,,1,,,,,,,,,,,1,,,,,1,
,1,,,,,,,,1,,,,,1,,,,,,,,1,,1,,,,,,,,,,,1
,1,,,,,,,,1,,,,,1,,,,,,,,1,,,,,,,1,1,,,,,
,1,,,,,,,,1,,,,,1,,,,,,,,,1,1,,,,,,,,,,1,
,1,,,,,,,,1,,,,,1,,,,,,,,,1,,,,,1,,1,,,,,
,1,,,,,,,,,,1,,,1,,,,1,,,,,,,,,1,,,,,,,1,
,1,,,,,,,,,,1,,,1,,,,,,,,1,,1,,,,,,,,,1,,
,1,,,,,,,,,,1,,,1,,,,,,,,1,,,,,1,,,1,,,,,
,,1,,,,1,,,,,,,,,1,,,,1,,,,,,,,,1,,,,,,,1
,,1,,,,1,,,,,,,,,1,,,,1,,,,,,,,,,1,,,,,1,
,,1,,,,1,,,,,,,,,1,,,,,,,1,,,1,,,,,,,,,,1
,,1,,,,1,,,,,,,,,1,,,,,,,1,,,,,,,1,,1,,,,
,,1,,,,1,,,,,,,,,1,,,,,,,,1,,1,,,,,,,,,1,
,,1,,,,1,,,,,,,,,1,,,,,,,,1,,,,,1,,,1,,,,
,,1,,,,1,,,,,,,,,,1,,,1,,,,,,,,1,,,,,,,,1
,,1,,,,1,,,,,,,,,,1,,,,,,,1,,,,1,,,,1,,,,
,,1,,,,1,,,,,,,,,,,1,,1,,,,,,,,1,,,,,,,1,
,,1,,,,1,,,,,,,,,,,1,,,,,1,,,1,,,,,,,,1,,
,,1,,,,1,,,,,,,,,,,1,,,,,1,,,,,1,,,,1,,,,
,,1,,,,,1,,,,,,,,1,,,1,,,,,,,,,,1,,,,,,,1
,,1,,,,,1,,,,,,,,1,,,1,,,,,,,,,,,1,,,,,1,
,,1,,,,,1,,,,,,,,1,,,,,,,1,,1,,,,,,,,,,,1
,,1,,,,,1,,,,,,,,1,,,,,,,1,,,,,,,1,1,,,,,
,,1,,,,,1,,,,,,,,1,,,,,,,,1,1,,,,,,,,,,1,
,,1,,,,,1,,,,,,,,1,,,,,,,,1,,,,,1,,1,,,,,
,,1,,,,,,,1,,,1,,,,,,,1,,,,,,,,,1,,,,,,,1
,,1,,,,,,,1,,,1,,,,,,,1,,,,,,,,,,1,,,,,1,
,,1,,,,,,,1,,,1,,,,,,,,,,1,,,1,,,,,,,,,,1
,,1,,,,,,,1,,,1,,,,,,,,,,1,,,,,,,1,,1,,,,
,,1,,,,,,,1,,,1,,,,,,,,,,,1,,1,,,,,,,,,1,
,,1,,,,,,,1,,,1,,,,,,,,,,,1,,,,,1,,,1,,,,
,,1,,,,,,,1,,,,,,,1,,1,,,,,,,1,,,,,,,,,,1
,,1,,,,,,,1,,,,,,,1,,1,,,,,,,,,,,1,,1,,,,
,,1,,,,,,,1,,,,,,,1,,,1,,,,,1,,,,,,,,,,,1
,,1,,,,,,,1,,,,,,,1,,,1,,,,,,,,,,1,1,,,,,
,,1,,,,,,,1,,,,,,,1,,,,,,,1,1,,,,,,,1,,,,
,,1,,,,,,,1,,,,,,,1,,,,,,,1,,1,,,,,1,,,,,
,,1,,,,,,,1,,,,,,,,1,1,,,,,,,1,,,,,,,,,1,
,,1,,,,,,,1,,,,,,,,1,1,,,,,,,,,,1,,,1,,,,
,,1,,,,,,,1,,,,,,,,1,,1,,,,,1,,,,,,,,,,1,
,,1,,,,,,,1,,,,,,,,1,,1,,,,,,,,,1,,1,,,,,
,,1,,,,,,,1,,,,,,,,1,,,,,1,,1,,,,,,,1,,,,
,,1,,,,,,,1,,,,,,,,1,,,,,1,,,1,,,,,1,,,,,
,,1,,,,,,,,,1,1,,,,,,,1,,,,,,,,1,,,,,,,1,
,,1,,,,,,,,,1,1,,,,,,,,,,1,,,1,,,,,,,,1,,
,,1,,,,,,,,,1,1,,,,,,,,,,1,,,,,1,,,,1,,,,
,,1,,,,,,,,,1,,,,1,,,1,,,,,,,1,,,,,,,,,1,
,,1,,,,,,,,,1,,,,1,,,1,,,,,,,,,,1,,,1,,,,
,,1,,,,,,,,,1,,,,1,,,,1,,,,,1,,,,,,,,,,1,
,,1,,,,,,,,,1,,,,1,,,,1,,,,,,,,,1,,1,,,,,
,,1,,,,,,,,,1,,,,1,,,,,,,1,,1,,,,,,,1,,,,
,,1,,,,,,,,,1,,,,1,,,,,,,1,,,1,,,,,1,,,,,
,,1,,,,,,,,,1,,,,,1,,1,,,,,,,,,1,,,,1,,,,
,,1,,,,,,,,,1,,,,,1,,,1,,,,,,,,1,,,1,,,,,
,,,1,,,1,,,,,,,,1,,,,,1,,,,,,,,,1,,,,,,,1
,,,1,,,1,,,,,,,,1,,,,,1,,,,,,,,,,1,,,,,1,
,,,1,,,1,,,,,,,,1,,,,,,,,1,,,1,,,,,,,,,,1
,,,1,,,1,,,,,,,,1,,,,,,,,1,,,,,,,1,,1,,,,
,,,1,,,1,,,,,,,,1,,,,,,,,,1,,1,,,,,,,,,1,
,,,1,,,1,,,,,,,,1,,,,,,,,,1,,,,,1,,,1,,,,
,,,1,,,1,,,,,,,,,,1,,,1,,,,,,,,,,1,,,1,,,
,,,1,,,1,,,,,,,,,,1,,,,,,,1,,1,,,,,,,1,,,
,,,1,,,1,,,,,,,,,,,1,,1,,,,,,,,,1,,,,1,,,
,,,1,,,1,,,,,,,,,,,1,,,,,1,,,1,,,,,,,1,,,
,,,1,,,,,1,,,,1,,,,,,,1,,,,,,,,,1,,,,,,,1
,,,1,,,,,1,,,,1,,,,,,,1,,,,,,,,,,1,,,,,1,
,,,1,,,,,1,,,,1,,,,,,,,,,1,,,1,,,,,,,,,,1
,,,1,,,,,1,,,,1,,,,,,,,,,1,,,,,,,1,,1,,,,
,,,1,,,,,1,,,,1,,,,,,,,,,,1,,1,,,,,,,,,1,
,,,1,,,,,1,,,,1,,,,,,,,,,,1,,,,,1,,,1,,,,
,,,1,,,,,1,,,,,,,,1,,1,,,,,,,1,,,,,,,,,,1
,,,1,,,,,1,,,,,,,,1,,1,,,,,,,,,,,1,,1,,,,
,,,1,,,,,1,,,,,,,,1,,,1,,,,,1,,,,,,,,,,,1
,,,1,,,,,1,,,,,,,,1,,,1,,,,,,,,,,1,1,,,,,
,,,1,,,,,1,,,,,,,,1,,,,,,,1,1,,,,,,,1,,,,
,,,1,,,,,1,,,,,,,,1,,,,,,,1,,1,,,,,1,,,,,
,,,1,,,,,1,,,,,,,,,1,1,,,,,,,1,,,,,,,,,1,
,,,1,,,,,1,,,,,,,,,1,1,,,,,,,,,,1,,,1,,,,
,,,1,,,,,1,,,,,,,,,1,,1,,,,,1,,,,,,,,,,1,
,,,1,,,,,1,,,,,,,,,1,,1,,,,,,,,,1,,1,,,,,
,,,1,,,,,1,,,,,,,,,1,,,,,1,,1,,,,,,,1,,,,
,,,1,,,,,1,,,,,,,,,1,,,,,1,,,1,,,,,1,,,,,
,,,1,,,,,,,,1,1,,,,,,,1,,,,,,,,,1,,,,1,,,
,,,1,,,,,,,,1,1,,,,,,,,,,1,,,1,,,,,,,1,,,
,,,1,,,,,,,,1,,,1,,,,1,,,,,,,1,,,,,,,,,1,
,,,1,,,,,,,,1,,,1,,,,1,,,,,,,,,,1,,,1,,,,
,,,1,,,,,,,,1,,,1,,,,,1,,,,,1,,,,,,,,,,1,
,,,1,,,,,,,,1,,,1,,,,,1,,,,,,,,,1,,1,,,,,
,,,1,,,,,,,,1,,,1,,,,,,,,1,,1,,,,,,,1,,,,
,,,1,,,,,,,,1,,,1,,,,,,,,1,,,1,,,,,1,,,,,
,,,1,,,,,,,,1,,,,,1,,1,,,,,,,1,,,,,,,1,,,
,,,1,,,,,,,,1,,,,,1,,,1,,,,,1,,,,,,,,1,,,
,,,,1,,1,,,,,,,,1,,,,,1,,,,,,,,1,,,,,,,,1
,,,,1,,1,,,,,,,,1,,,,,,,,,1,,,,1,,,,1,,,,
,,,,1,,1,,,,,,,,,1,,,,1,,,,,,,,,,1,,,1,,,
,,,,1,,1,,,,,,,,,1,,,,,,,,1,,1,,,,,,,1,,,
,,,,1,,1,,,,,,,,,,,1,,1,,,,,,,,1,,,,,1,,,
,,,,1,,,,1,,,,1,,,,,,,1,,,,,,,,1,,,,,,,,1
,,,,1,,,,1,,,,1,,,,,,,,,,,1,,,,1,,,,1,,,,
,,,,1,,,,1,,,,,,,1,,,1,,,,,,,1,,,,,,,,,,1
,,,,1,,,,1,,,,,,,1,,,1,,,,,,,,,,,1,,1,,,,
,,,,1,,,,1,,,,,,,1,,,,1,,,,,1,,,,,,,,,,,1
,,,,1,,,,1,,,,,,,1,,,,1,,,,,,,,,,1,1,,,,,
,,,,1,,,,1,,,,,,,1,,,,,,,,1,1,,,,,,,1,,,,
,,,,1,,,,1,,,,,,,1,,,,,,,,1,,1,,,,,1,,,,,
,,,,1,,,,1,,,,,,,,,1,1,,,,,,,,,1,,,,1,,,,
,,,,1,,,,1,,,,,,,,,1,,1,,,,,,,,1,,,1,,,,,
,,,,1,,,,,1,,,1,,,,,,,1,,,,,,,,,,1,,,1,,,
,,,,1,,,,,1,,,1,,,,,,,,,,,1,,1,,,,,,,1,,,
,,,,1,,,,,1,,,,,1,,,,1,,,,,,,1,,,,,,,,,,1
,,,,1,,,,,1,,,,,1,,,,1,,,,,,,,,,,1,,1,,,,
,,,,1,,,,,1,,,,,1,,,,,1,,,,,1,,,,,,,,,,,1
,,,,1,,,,,1,,,,,1,,,,,1,,,,,,,,,,1,1,,,,,
,,,,1,,,,,1,,,,,1,,,,,,,,,1,1,,,,,,,1,,,,
,,,,1,,,,,1,,,,,1,,,,,,,,,1,,1,,,,,1,,,,,
,,,,1,,,,,1,,,,,,,,1,1,,,,,,,1,,,,,,,1,,,
,,,,1,,,,,1,,,,,,,,1,,1,,,,,1,,,,,,,,1,,,
,,,,1,,,,,,,1,1,,,,,,,1,,,,,,,,1,,,,,1,,,
,,,,1,,,,,,,1,,,1,,,,1,,,,,,,,,1,,,,1,,,,
,,,,1,,,,,,,1,,,1,,,,,1,,,,,,,,1,,,1,,,,,
,,,,1,,,,,,,1,,,,1,,,1,,,,,,,1,,,,,,,1,,,
,,,,1,,,,,,,1,,,,1,,,,1,,,,,1,,,,,,,,1,,,
